Date,TowerID,Place,Region,Description of change,Source,Route
2023-09-23,11914,"London, S Dunstan-in-the-West",City of London,No outside bands permitted until the completion of ringing room building work,Dickon Love,
2023-09-20,13419,"Doneraile, S Mary","Cork, Republic of Ireland","Project complete; 1-6: weight, nominal, diameter amended; 6: cast year amended; 1-4: canons amended; 1-6: turning added",Matthew Higby #005644,
2023-09-20,11591,"East Dereham, S Nicholas",Norfolk,"Sanctus: canons, turning added; Sanctus,Unused: hanging type added","Max Meeson, ringing master #005646 #005652",
2023-09-20,10320,"Mortlake, S Mary",Greater London,"1-8: nominal, turning added; Fr1: maker, truss added",Recordings taken 16/9/2032,Bill Hibbert #005650
2023-09-20,10320,"Mortlake, S Mary",Greater London,Clock bell added,Bill Hibbert and CJP paper on bells inside M25 #005651,
2023-09-20,17283,"Shrewsbury, S Julian's Arts & Craft Centre",Shropshire,1-5: weight added; 6: weight amended,"Walters ""Shropshire"".",Chris Pickford #005656
2023-09-18,12137,"Audlem, S James Gt",Cheshire,New project added,David Potter #005645,
2023-09-18,18335,"Billericay, S Mary Magd",Essex,1: canons added,"David Sloman, from personal visit #005643",
2023-09-18,25303,"Grafham, S Andrew",Surrey,1-2: canons added,https://www.whitesbellhangers.co.uk/current,Kye Leaver #005639
2023-09-18,12585,"St Annes on the Sea, S Anne",Lancashire,"1-6: new bell details added; 7-10: weight, nominal, diameter amended, turning added; 1-10: note amended",JT & Co,Andrew Ogden #005542
2023-09-18,12585,"St Annes on the Sea, S Anne",Lancashire,Project completed,David Potter #005642,
2023-09-18,25336,"Stratfield Turgis, All Saints",Hampshire,New tower added,OS Map; ABC Gazetteer; CHR; StreetMap; Historic England,
2023-09-18,15750,"Weldon, S Mary",Northamptonshire,Toilet added,"Lynda Lazzerini, from personal visit",
2023-09-18,10263,"Whitby, S Mary",North Yorkshire,Overhaul added,"Tim Jackson, from personal visit, citing Taylors board in the church",
2023-09-18,13479,"York, S Olave, Marygate",North Yorkshire,"Sanctus: nominal, note, hanging added","Information (pictures) provided by Roger Button, tower captain. Recorded by Tim Jackson and analysed by Nick Bowden",
2023-09-18,11836,"York, York St Mary's (visual art venue), Castlegate",North Yorkshire,Sub-place name added,To match the style used for all other York churches “within the walls”,Tim Jackson
2023-09-17,17283,"Shrewsbury, S Julian's Arts & Craft Centre",Shropshire,"URL, postcode, diocese, listed building attributes added; ring type amended; 1-6: hanging added",CHR; StreetMap; Historic England. Church is within CHR scope. Bells are hung from chains within the church (ref Richard Offen database note dated 13/04/1999).,
2023-09-17,12730,"Southgate, Christ Church",Greater London,Ellacombe added,"John Adams, from personal visit",
2023-09-17,23620,"St Erney, S Terninus",Cornwall,Ring type amended; U/R added; 1-3: hanging added,Owen Borlase,
2023-09-17,17440,"St Michael's Mount, S Michael Archangel",Cornwall,"Fr1, postcode, diocese, listed building attributes added; ring type amended; 1-6: turning, hanging added","CHR; StreetMap; Historic England. Church is within CHR scope. Chris Pickford, from personal visit.",
2023-09-17,14988,"Stepney, S Dunstan & All Saints",Greater London,Overhaul description added,Nigel Taylor (in 2014) from personal tuning records,
2023-09-17,14882,"Stratfield Saye, S Mary V",Hampshire,"Tuning, frame note added; 1-5: nominal added; 1-4: note amended; 4: weight amended; Fr1: non-standard truss added","Tim Jackson, from personal visit. Information taken from Whitechapel Bell Foundry board in the tower. Recorded by Tim Jackson and analysed by Nick Bowden",
2023-09-16,13625,"Dunstall, S Mary",Staffordshire,"1-3: nominal, turning added; Fr1: truss added","Information (pictures) provided by Steven Blakemore, from personal visit. Recorded by Steven Blakemore and analysed by Nick Bowden",
2023-09-16,16682,"Elmore, S John Bapt",Gloucestershire,Fr1: layout amended,Malcolm Taylor,
2023-09-16,20374,"Grange over Sands, S Paul",Cumbria,"1: nominal, note added","Nick Bowden analysis of YouTube clip posted by Kyle the Ringer, notified by John Adams: https://www.youtube.com/watch?v=JX6bS0gqIJg",
2023-09-16,15881,"Hereford, S Peter",Herefordshire,"1,5: diameter amended; 2-4: diameter added; 4,5: date amended","Diameters provided (in 2011) by Mark Pugh, HDG Guild Master at the time (currently HDG Guild Secretary). Bell dates provided by John Eisel, from personal visit",
2023-09-16,10487,"Long Buckby, S Lawrence",Northamptonshire,"1950 overhaul added; 2000 overhaul description added; Fr1A, Fr1B: layout added (Fr1A layout is two pits side-by-side)","Tim Jackson, from personal visit (frame) and citing board in the church (overhauls)",
2023-09-16,14936,"Longborough, S James",Gloucestershire,1-6: turning added,Malcolm Taylor,
2023-09-16,16187,"Minety, S Leonard",Wiltshire,Sanctus added; Fr1 added; 1-6: turning added,Malcolm Taylor. Additional sanctus information taken from GAD NBR Bristol Dio,
2023-09-16,17098,"Oaksey, All Saints",Wiltshire,1-6: turning added,Malcolm Taylor,
2023-09-16,16976,"Rochdale, S Chad",Greater Manchester,New project added,"Jo Blyth, Office Manager, Blyth & Co Ltd",
2023-09-15,13575,"Albrighton, S Mary Magd",Shropshire,Project completed,"Jo Blyth, Office Manager, Blyth & Co Ltd",
2023-09-15,17238,"Becontree, S Alban",Greater London,"Fr1, Fr2: date, maker added","David Sloman, DAC Bells Advisor, Chelmsford Diocese, from personal visit",
2023-09-15,18252,"Belhus Park, All Saints",Essex,Fr1: layout added,"David Sloman, DAC Bells Advisor, Chelmsford Diocese",
2023-09-15,11857,"Bramley, S James",Hampshire,1-3: turning added; Fr1: truss amended,"Tim Jackson, from personal visit",
2023-09-15,14837,"Brathay, Holy Trinity",Cumbria,Overhaul description added; Fr1 added,Peter Hayward,
2023-09-15,16952,"Bulkington, S James",Warwickshire,Ringing suspended temporarily,Info from ringers helping with the project,Mike Chester #005638
2023-09-15,11261,"Calne, S Mary V",Wiltshire,Overhaul description amended,"Andrew Woolley, tower captain",
2023-09-15,25173,"Cokethorpe, Chapel of S Mary",Oxfordshire,"Diocese, CHR Asset ID added",CHR. Church is (now) within CHR scope,
2023-09-15,11572,"Cold Ashby, S Denys",Northamptonshire,Fr1: layout amended (layout is 5.4 but with Pit E centred on Pits A/D); Fr2: layout added,"Tim Jackson, from personal visit",
2023-09-15,13906,"Corby, S John Bapt",Northamptonshire,"1-6: turning added; Fr1, Fr2: truss amended, layout added (Fr2 layout is two pits side-by-side)",Tim Jackson,
2023-09-15,13783,"Cottesbrooke, All Saints",Northamptonshire,"1,2: nominal added; 3-8: nominal amended",Recorded by Tim Jackson and analysed by Nick Bowden,
2023-09-15,11484,"Crick, S Margaret",Northamptonshire,Overhauls added,"Tim Jackson, from personal visit, citing WBF board in the church",
2023-09-15,25101,"Daylesford, S Peter",Gloucestershire,Lat/Long amended,Tim Jackson,
2023-09-15,19708,"Duddo, All Saints",Northumberland,Lat/Long amended,Tim Jackson,
2023-09-15,15107,"Horsham, S Mary V",West Sussex,Project complete. New bell #4 details added,WOA data,Mark Walker #005630
2023-09-15,18392,"York, S Mary, Bishophill Junior",North Yorkshire,Place name amended; sub-place name added,"To match the style used for all other York churches “within the walls""",Tim Jackson
2023-09-13,10334,"Bathford, S Swithun",Somerset,Ellacombe added,Colin Turner #005633,
2023-09-13,10497,"Eltham, S John Bapt",Greater London,1-7: canons added,"Peter Oates, local ringer",James Hedgcock #005636
2023-09-13,12879,"Netley, S Edward Conf",Hampshire,"1-8: canons, turning added","Francis Mitchell, Tower contact",James Hedgcock #005637
2023-09-13,16386,"Sudbury, Sudbury Arts Centre",Suffolk,Project completed,David Potter #005634,
2023-09-12,13766,"Brigstock, S Andrew",Northamptonshire,1-3: nominal added,Nigel Taylor's personal tuning records #005627,
2023-09-12,10668,"Brookland, S Augustine",Kent,1-5: nominal added; 1-6: turning added,Nigel Taylor's personal tuning records #005623,
2023-09-12,11218,"Great Cransley, S Andrew",Northamptonshire,"1-6: nominal, note amended; canons, turning added",Nigel Taylor's personal tuning records #005624,
2023-09-12,11029,"Naunton, S Andrew",Gloucestershire,1-6: nominal amended; 1-6: turning added,Nigel Taylor's personal tuning records #005626,
2023-09-11,15210,"Chelsea, All Saints Old Church",Greater London,"1-7: nominal added; 1-2,4-8: diameter amended",Nigel Taylor's personal tuning records #005622,
2023-09-11,15563,"Chipping Sodbury, S John Bapt",Gloucestershire,3-8: nominal added,Nigel Taylor's personal tuning records #005621,
2023-09-11,12589,"Colchester, All Saints, Shrub End",Essex,1-5: nominal added,Nigel Taylor's personal tuning records #005620,
2023-09-11,14599,"Colchester, S Leonard at the Hythe",Essex,1-6: nominal added; note amended,Tonal analysis following inspection on 04/09/2023,Nigel Taylor #005615
2023-09-11,13503,"Funtington, S Mary",West Sussex,1-6: diameter amended; 3-6: turning amended,Nigel Taylor's personal tuning records #005617,
2023-09-11,13467,"Havant, S Faith",Hampshire,Postcode amended,"Andrew Glover, W&P Webmaster #005612",
2023-09-11,11834,"Swanmore, S Barnabas",Hampshire,1-6: nominal amended,Nigel Taylor's personal tuning records #005618,
2023-09-11,10100,"Tedburn St Mary, S Mary V",Devon,New project added,David Potter #005614,
2023-09-11,17618,"Turkdean, All Saints",Gloucestershire,"Project completed; ring type amended; 1-3: weight, hanging type amended; 1: frame number added","Mark Walker, Whites of Appleton #005616",
2023-09-10,19332,"Compton Wynyates, S Mary Magd",Warwickshire,"Overhaul added; 1: nominal, note, canons, turning added.",CJP visit (May 2006) and JT&Co data,Chris Pickford #005604
2023-09-10,10497,"Eltham, S John Bapt",Greater London,PN amended,Peter Oates  (Steeplekeeper) #005603,
2023-09-10,12918,"Great Easton, S Andrew",Leicestershire,PN deleted - no practices,Steve Millington (TC of neighbouring Medbourne) #005609,
2023-09-10,14200,"Great Hormead, S Nicholas",Hertfordshire,Project completed,David Potter #005607,
2023-09-10,21249,"Kenilworth, S John",Warwickshire,"Tuning description amended; 2,4,6,8: note amended; 3: transposed note amended",Tim Jackson,
2023-09-10,17615,"Northampton, S Matthew",Northamptonshire,5: transposed note amended,Tim Jackson,
2023-09-10,13707,"Welland, S James",Worcestershire,New project added,David Potter #005607,
2023-09-10,17361,"Wyke, S Mary V",West Yorkshire,"Tuning description amended; 1,6: note amended",Tim Jackson,
2023-09-09,11106,"Addlethorpe, S Nicholas",Lincolnshire,1-6: turning added,"Tony Barker, Tower Captain",James Hedgcock #005594
2023-09-09,18789,"Buncton, All Saints",West Sussex,1: founder amended,Thomas I Mears Passed away in 1810,Kye Leaver #005572
2023-09-09,20851,"Heybridge, S Andrew",Essex,"1: weight, note, canons, turning added; Disused: cracked added; Fr1 added",Visit by David Sloman and Whitechapel records #005582,
2023-09-09,11475,"Redgrave, S Mary",Suffolk,Toilet added,Simon Edwards #005585,
2023-09-09,10875,"Shedfield, S John Bapt",Hampshire,"1-6,8: turning added",Tower contact,James Hedgcock #005580
2023-09-08,18331,"Bignor, Holy Cross",West Sussex,1: founder amended,Sussex Bells & Belfries. Bell inscribed: THOMAS MEARS & SON 1807,Kye Leaver #005576/7
2023-09-08,19131,"Chichester, S John Ev",West Sussex,1: founder amended,This bell is too late for Thomas I Mears,Kye Leaver #005573
2023-09-08,22064,"Merston, S Giles",West Sussex,1: founder amended,Sussex B&B,Kye Leaver #005575
2023-09-08,10094,"Willington, S Stephen",Durham,Fr1: material added,Bells of the North-East of England website,Nick Green #005608
2023-09-07,18252,"Belhus Park, All Saints",Essex,Fr1 added; 1: weight added,David Sloman #005566,
2023-09-07,16234,"Chippenham, S Margaret",Cambridgeshire,"1-4,6: diameter added; 3-6: canons amended; 1-6: turning added",Stephen Jakeman #005537,
2023-09-07,16468,"Ickford, S Nicholas",Buckinghamshire,Toilet added,Colin Turner #005567,
2023-09-07,10149,"Ludgershall, S Mary V",Buckinghamshire,Toilet added,Colin Turner #005569,
2023-09-07,10194,"Marsden, S Bartholomew",West Yorkshire,Ringing currently not permitted,Peter Kirby  DAC (Bells) - Anglican Diocese of Leeds #005565,
2023-09-07,16666,"Nevern, S Brynach","Pembrokeshire, Dyfed, Wales","1,2: date amended; 1-10, c1-c3: bell name added; 8-10, c1: bell origin notes amended; c2,c3: bell origin notes added",,
2023-09-07,14429,"Oakley, S Mary",Buckinghamshire,Toilet added,Colin Turner #005568,
2023-09-07,22544,"Old Burghclere, All Saints",Hampshire,1: nominal added,Recorded by Tim Jackson and analysed by Nick Bowden,
2023-09-07,12473,"Porthmadog, S John Div","Gwynedd, Wales",PN deleted - no longer holds a practice,"David Kelly, Keltek Trust",
2023-09-07,11832,"Shanklin, S Saviour on the Cliff",Isle of Wight,Sanctus: hanging type added,See Dove 11,
2023-09-07,23529,"South Shoebury, S Andrew",Essex,"1: nominal, note added",Recorded by Ryan Faulkner-Hatt and analysed by Nick Bowden,
2023-09-07,25335,"Southchurch, Christ Church",Essex,"1: nominal, note added",Recorded by Ryan Faulkner-Hatt and analysed by Nick Bowden,
2023-09-07,12448,"Swallowcliffe, S Peter",Wiltshire,Fr1 added,Nicholson Engineering report prior to the recent restoration work,
2023-09-07,17493,"Throop, S Paul",Dorset,Tuning description amended,Tim Jackson,
2023-09-07,15777,"Warnford, Our Lady",Hampshire,Fr1A added,"Information (including pictures) provided by Edwin Grimshaw, local contact",
2023-09-07,12909,"Welbourn, S Chad",Lincolnshire,"Overhaul added; U1, U2: nominal, note added; U1: cracked removed","George Dawson and Lincs B&B, Ketteringham (overhaul)",
2023-09-07,15072,"Wicken Bonhunt, S Margaret",Essex,"1: nominal, note added",Recorded by Ryan Faulkner-Hatt and analysed by Nick Bowden,
2023-09-07,11142,"Wigton, S Mary",Cumbria,Service: hanging type added,See Dove 11,
2023-09-07,10094,"Willington, S Stephen",Durham,Fr1 added,"Benjamin Vallejo, citing Bells of the North-East of England website: https://northeastbells.co.uk/willington/",
2023-09-06,10552,"Kimcote, All Saints",Leicestershire,Overhauls added; Fr1 added,"Chris Pickford from the Taylors archive. Rob Palmer, Leicester Diocesan Guild of Church Bell Ringers, Bells Committee Representative, from personal visit (frame)",
2023-09-06,16766,"Llangyfelach, S David & S Cyfelach","Swansea, West Glamorgan, Wales","Fr1: maker, truss added","Information (including ictures) provided by Simon W Edwards, from personal visit",
2023-09-06,15532,"Long Crichel, S Mary V",Dorset,6: turning added,"See B&B Dorset, Dalton",
2023-09-06,21783,"Long Marton, S Margaret & S James",Cumbria,"1-3: weight added; 1,3: diameter amended; 1,2: founder added","Ron East, DAC Bells Advisor, Carlisle Diocese, from personal visit",
2023-09-06,21789,"Longdon on Tern, S Bartholomew",Shropshire,Fr1 added,"Chris Pickford, from personal visit",
2023-09-06,17450,"Lower Brixham, All Saints",Devon,Tuning description amended,Tim Jackson,
2023-09-06,11729,"Matlock, S Giles",Derbyshire,Service: hanging type added,See Dove 11,
2023-09-06,22091,"Middleton in Teesdale, S Mary V",Durham,"Overhaul, detached tower added; 1-3: hanging added","See RW 2000 p834. Additional information provided by David Marshall (2006),Tim Jackson, from personal visit (2009) and David Hird, former bells advisor",
2023-09-06,12879,"Netley, S Edward Conf",Hampshire,Alternative name amended,Crockford; CHR. See: https://www.english-heritage.org.uk/visit/places/netley-abbey/history/,
2023-09-05,17247,"Frimley, S Peter",Surrey,"Tuning description amended; 5,8: transposed note amended",,
2023-09-05,15618,"Hammersmith, S Paul",Greater London,"1-8: turning, canons, nominals added; 1-7 approx weights added (from church 'guide book' history). Fr1 added.","Visit by Dylan Thomas, Kye Leaver, James White, Ian Hill 4 Sept 2023",
2023-09-05,21055,"Hounslow, Holy Trinity",Greater London,"Tuning added; 1-12: transposed notes added (Tim Jackson), canons, turning added (Steve Jakeman, from personal visit)",,
